Filename,SNR(original),SNR(LOHIRESGAN),SNR(LOWGAN),SNR(RESNET),SNR(SWINIR)
a01.nii.gz,1.7,2.85,3.25,3.1,3.76
a02.nii.gz,2.11,2.6,2.82,2.68,2.1
a03.nii.gz,2.48,2.99,3.29,3.11,2.04
a04.nii.gz,2.08,2.83,3.16,3,-3.94
a05.nii.gz,2.15,2.75,2.98,2.8,-3.05
a06.nii.gz,2.05,2.76,3.13,2.94,-1.61
a07.nii.gz,1.91,2.43,3.04,2.89,0.16
a08.nii.gz,2.03,2.43,3.18,3.02,-0.95
a09.nii.gz,1.78,2.43,3.1,2.98,-5.36
a10.nii.gz,2.34,2.59,3.22,3.04,-6.44
a11.nii.gz,1.67,2.57,2.87,2.76,-1.48
a12.nii.gz,2.1,2.42,2.94,2.76,-0.53
a13.nii.gz,2.23,2.44,3.11,2.95,-7
a14.nii.gz,2.17,2.8,3.28,3.11,0.36
a15.nii.gz,1.85,2.7,3.16,3,1.04
a16.nii.gz,2.12,2.58,2.91,2.73,-4.52
a17.nii.gz,2.34,2.55,3.22,3.07,-7.68
a18.nii.gz,1.77,2.46,3.1,3,-6.05
a19.nii.gz,1.75,2.71,2.95,2.85,-0.11
a20.nii.gz,2.2,2.65,2.87,2.71,-1.86
a21.nii.gz,2.66,2.49,2.89,2.77,-5.86
a22.nii.gz,2.49,2.44,2.82,2.71,-0.86
a23.nii.gz,2.45,2.47,2.82,2.71,-1.3
a24.nii.gz,2.44,2.76,2.87,2.76,0.91
a25.nii.gz,2.3,2.7,2.99,2.86,-3.34
a26.nii.gz,2.49,2.68,2.86,2.76,-1.08
a27.nii.gz,2.47,2.4,2.88,2.76,-1.83
a28.nii.gz,2.39,2.47,2.79,2.68,-3.5
a29.nii.gz,2.43,2.51,2.74,2.63,-2.31
a30.nii.gz,2.56,2.51,2.93,2.82,0.75
